title,year,rating,votes,metascore,genres,budget,gross,plot outline
Hunter Killer,2018,6.6,20862,43,"['Action', 'Thriller']",40000000.0,29300000.0,"A U.S. submarine, the USS Tampa Bay, vanishes while shadowing a Russian Akula-class submarine in the Arctic. Rear Admiral John Fisk sends a Virginia-class submarine, the USS Arkansas, under the command of newly-promoted and unorthodox Commander Joe Glass to investigate. At the same time, a Navy SEAL team under the command of Lieutenant Bill Beaman is sent in to discreetly observe a Russian naval base. When they arrive at the naval base, they witness defense minister Dmitri Durov conducting a coup d'etat and taking Russian President Zakarin prisoner, and swiftly realize that Durov intends to trigger a war.."
The Vanishing,2018,5.8,3820,66,"['Drama', 'Mystery', 'Thriller']",,,"Formally known as KEEPERS, The Vanishing is Inspired by the Flannan Isle mystery. A small relief boat approaches the Isle, a tiny isolated island no bigger than a football pitch, 20 miles off a rugged coast. Its aim is to routinely replace the three lighthouse keepers, after 6 weeks alone manning the light. It nears the dock and none of the men greet them. The winch is broken. A call. Nothing. Experienced keepers Thomas, James and Donald have vanished. The lamps are clean and refilled; the table is laid for dinner. There is an upturned chair. Two sets of yellow oilskins are missing...The men were never found."
Den of Thieves,2018,7.0,63050,49,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",30000000.0,80500000.0,A gritty L.A crime saga which follows the intersecting and often personally connected lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank of downtown Los Angeles.
Geostorm,2017,5.3,74392,21,"['Action', 'Sci-Fi', 'Thriller']",120000000.0,221600000.0,"When catastrophic climate change endangers Earth's very survival, world governments unite and create the Dutch Boy Program: a world wide net of satellites, surrounding the planet, that are armed with geoengineering technologies designed to stave off the natural disasters. After successfully protecting the planet for three years, something is starting to go wrong. Two estranged brothers are tasked with solving the program's malfunction before a world wide Geostorm can engulf the planet."
A Family Man,2016,6.5,7958,21,['Drama'],,,"As the boss (Willem Dafoe) of a Chicago-based headhunter prepares to retire, Dane Jensen (Gerard Butler), who works at the Blackridge Recruiting agency arranging jobs for engineers, vies to achieve his longtime goal of taking over the company going head-to-head with his ambitious rival, Lynn Vogel (Alison Brie). However, Dane's 10-year-old son, Ryan (Maxwell Jenkins), is suddenly diagnosed with cancer and his professional priorities at work and personal priorities at home begin to clash with one another."
London Has Fallen,2016,5.9,121591,28,"['Action', 'Thriller']",60000000.0,205800000.0,"After the British Prime Minister has passed away under mysterious circumstances, all leaders of the Western world must attend his funeral. But what starts out as the most protected event on earth, turns into a deadly plot to kill the world's most powerful leaders and unleash a terrifying vision of the future. The President of the United States, his formidable secret service head and a British MI-6 agent who trusts no one are the only people that have any hope of stopping it."
Gods of Egypt,2016,5.4,92451,25,"['Action', 'Adventure', 'Fantasy']",140000000.0,150700000.0,"Set, the merciless god of darkness, has taken over the throne of Egypt and plunged the once peaceful and prosperous empire into chaos and conflict. Few dare to rebel against him. A young thief, whose love was taken captive by the god, seeks to dethrone and defeat Set with the aid of the powerful god Horus."
Olympus Has Fallen,2013,6.5,231851,41,"['Action', 'Thriller']",70000000.0,170300000.0,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential Secret Service Agent Mike Banning finds himself trapped within the building. As our national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster."
Movie 43,2013,4.3,90892,18,['Comedy'],6000000.0,32400000.0,"Ineffectual, 'has-been' film-maker (Dennis Quaid) swindles his way into an interview with a film executive (Greg Kinnear) in order to pitch an outrageous and controversial comedy manuscript. After pitching the first of his thirteen offbeat fables, the dejected artist forces the rest of his disjointed allegory on the executive at gunpoint. He tells stories of a woman on a blind date with a man who has testicles growing from his neck, in another a smitten woman offers her neck to her boyfriend to 'poop' on -as a sign of commitment and love. In yet another two parents take home-schooling to a whole new level of indecency, striving to give their isolated teenage son all the 'regular' torment and humiliation of puberty by bullying, peer-pressuring and even seducing him themselves. An off-beat, elephant-in-the-room type film."
Playing for Keeps,2012,5.7,27135,27,"['Comedy', 'Romance', 'Sport']",55000000.0,24100000.0,"George is a former professional soccer star who's moved to Virginia to be close to his ex-wife and son. He's broke, jobless, without a plan, and a constant source of disappointment to his son. When he takes over as his son's soccer coach, he has a new connection to the lad. He also gets the attention of three of the players' moms as well as the glad hand of a wealthy dad. His ex-wife's getting married, he has a lead on a sportscasting job, and he finds new ways to disappoint his son. Is there any way he can sort things out?"
Chasing Mavericks,2012,7.2,28676,45,"['Biography', 'Drama', 'Sport']",20000000.0,8300000.000000001,"The inspirational true story of real life surfing phenomenon Jay Moriarity. When 15 year old Jay discovers that the mythic Mavericks surf break, one of the biggest waves on Earth, is not only real, but exists just miles from his Santa Cruz home, he enlists the help of local legend Frosty Hesson to train him to survive it. As Jay and Frosty embark on their quest to accomplish the impossible, they form a unique friendship that transforms both their lives, and their quest to tame Mavericks becomes about far more than surfing."
Dragons: Gift of the Night Fury,2011,7.6,5402,Nan,"['Animation', 'Short', 'Adventure', 'Comedy', 'Family', 'Fantasy']",,,"The Viking town of Berk, now enjoying its new alliance with the dragons, is preparing for its annual winter holiday of Snoggletog. However, that spirit is threatened when all the dragons, except Toothless who needs Hiccup to help him, suddenly fly away for some reason. While Astrid ineffectually tries to salvage the occasion, Hiccup decides to build Toothless a new prosthetic to allow him to fly independently, only to have the dragon take off as well. However, as the holiday approaches, Hiccup finds himself swept up to learn the dragons' secret the hard way and to find a solution to bring them home early."
Machine Gun Preacher,2011,6.8,59435,43,"['Action', 'Biography', 'Crime', 'Drama']",30000000.0,3000000.0,"In Pittsburgh, Pennsylvania, addicted gang biker Sam Childers is released from prison and learns that his wife Lynn is no longer a stripper but has converted to Christianity. One night, Sam and his best friend Donnie give a ride to a hitchhiker who threatens Donnie with a pocketknife; however Sam reacts and turns the tables on the stranger. Sam is affected by the incident and is convinced by Lynn and his mother Daisy to join their church, and he is baptized. Sam finds a straight job in construction. When he meets a preacher from Africa, he decides to visit the continent. Sam travels to Northern Uganda and South Sudan many times and builds an orphanage for the victims of the cruel Lord's Resistance Army (LRA). Further, he fights whenever necessary and becomes a legend known as The Machine Gun Preacher."
Coriolanus,2011,6.1,29350,79,"['Drama', 'Thriller', 'War']",7700000.0,1072602.0,"The citizens of Rome are hungry. Coriolanus, the hero of Rome, a great soldier and a man of inflexible self-belief despises the people. His extreme views ignite a mass riot. Rome is bloody. Manipulated and out-maneuvered by politicians and even his own mother Volumnia, Coriolanus is banished from Rome. He offers his life or his services to his sworn enemy Tullus Aufidius."
Legend of the Boneknapper Dragon,2010,7.1,2499,Nan,"['Animation', 'Short', 'Adventure', 'Comedy', 'Family', 'Fantasy']",,,"When Gobber's house burns down, the old Viking is convinced that his nemesis, the legendary Boneknapper Dragon, is responsible. Bent on revenge, Gobber resolves to hunt it down once and for all, despite the fact that no one believes the dragon exists. Regardless, Hiccup and the gang decide to accompany him for his own good. On the sea voyage, Gobber tells the story of his rivalry with the beast, which gets sillier with each episode. When the gang find themselves shipwrecked on the suspected island of the beast, they are about to learn the truth about the dragon."
Dreamworks How to Train Your Dragon Legends,2010,7.8,869,Nan,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",165000000.0,495800000.0,Nan
How to Train Your Dragon,2010,8.1,593517,74,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",165000000.0,495800000.0,"Long ago up North on the Island of Berk, the young Viking, Hiccup, wants to join his town's fight against the dragons that continually raid their town. However, his macho father and village leader, Stoik the Vast, will not allow his small, clumsy, but inventive son to do so. Regardless, Hiccup ventures out into battle and downs a mysterious Night Fury dragon with his invention, but can't bring himself to kill it. Instead, Hiccup and the dragon, whom he dubs Toothless, begin a friendship that would open up both their worlds as the observant boy learns that his people have misjudged the species. But even as the two each take flight in their own way, they find that they must fight the destructive ignorance plaguing their world."
The Bounty Hunter,2010,5.6,110659,22,"['Action', 'Comedy', 'Romance']",42500000.0,136300000.0,"Milo Boyd, a down-on-his-luck bounty hunter, gets his dream job when he is assigned to track down his bail-jumping ex-wife, reporter Nicole Hurly. He thinks all that's ahead is an easy payday, but when Nicole gives him the slip so she can chase a lead on a murder cover-up, Milo realizes that nothing ever goes simply with him and Nicole. The exes continually one-up each other - until they find themselves on the run for their lives. They thought their promise to love, honor and obey was tough - staying alive is going to be a whole lot tougher."
Law Abiding Citizen,2009,7.4,248518,34,"['Crime', 'Drama', 'Thriller']",53000000.0,126700000.0,"Clyde Shelton's family is brutally murdered. The ones responsible are caught. However, because of improper procedure, the D.A., Nick Rice only has circumstantial evidence. So he decides to get one of them to testify against the other. When Shelton learns of this, he is not happy. Ten years later, the one who was convicted is being executed but something goes wrong; his execution goes awry and he suffers. They learn that someone tampered with the machine. And the other one is found dead, killed in a gruesome manner. Rice suspects Shelton, so he has him picked up. At first, Shelton agrees to a plea agreement with Rice but changes his mind. It appears that Shelton is not done, it appears he blames the whole system and is declaring war on it going after everyone involved with his family's case. So Rice has to stop him but Shelton is way ahead of him."
