title,year,rating,votes,metascore,genres,budget,gross,plot outline
Gotti,2018,4.8,8372,24,"['Biography', 'Crime', 'Drama']",10000000.0,4300000.0,"The film will reveal the relationship of a father who lived and died by the mob code and a son who, while brought up to lead a life of crime, chose to leave that world behind and redeem himself and the Gotti name. Never before has there been such an inside look at the Gotti family and their world of danger, betrayal and redemption. John Gotti was head of the Gambino crime family, which in its time was the largest and most powerful crime organization in the country. Known as the ""Dapper Don,"" John Gotti's flamboyant style and outspoken personality made him one of the most famous mobsters of the 20th century and he ruled the underworld until he died from cancer in 2002 while serving a life sentence. In 1988, at the age of 24, Gotti Jr. became a ""made man,"" and was officially inducted into the Mafia, making him the heir-apparent to head the Gambino crime family and follow in his father's footsteps. But in 1999, Gotti Jr. paid a now-famous last visit to his imprisoned and dying father to tell him he was ending his life of crime and getting out of the family business. During the years that followed his father's death, Gotti Jr. had a long legal battle ahead of him and served three jail sentences, totaling approximately nine years, for a variety of charges. Gotti Jr. was finally released from prison in December 2009."
I Am Wrath,2016,5.4,10838,Nan,"['Action', 'Crime', 'Drama', 'Thriller']",18000000.0,,Nan
In a Valley of Violence,2016,6.0,12635,64,"['Action', 'Crime', 'Drama', 'Thriller', 'Western']",,61797.0,Nan
Criminal Activities,2015,5.8,7618,51,"['Crime', 'Drama', 'Thriller']",,,"Pic is about four young guys who reunite at an ex-classmate's funeral. One mentions to the others inside information on a stock that is a guaranteed lock to make them instant millionaires. Unfortunately, the deal goes south along with their investment. Things go from bad to worse: one of them borrowed his share of the money from a mobster."
Life on the Line,2015,5.2,3620,24,"['Action', 'Drama']",,,"LIFE ON THE LINE is a riveting action thriller and family drama centered on Beau (John Travolta), his beloved niece Bailey (Kate Bosworth) and the hardworking men who risk their lives to work ""on the line"" and keep the electric grid running. These unsung heroes brave raging storms and dangerously dizzying heights in their dedication to keeping the populace safe. Toiling hundreds of feet in the air on wires carrying as much as 500,000 volts of electricity, tragedy is often inches away. Haunted by the electrocution death of his brother, Beau is devoted to Bailey and determined to see her go off to college and away from the life of linemen. Bailey has other plans, which include the strapping second-generation lineman Duncan (Devon Sawa), whom Beau despises. A deadly tempest is brewing and headed straight to their Texas town. Beau, Duncan and a legion of linemen are thrust into the eye of the storm and must face down impending disaster to keep their community connected. This compelling action drama also stars Sharon Stone, Ryan Robbins, Julie Benz and Gil Bellows."
The Forger,2014,5.8,10816,32,"['Crime', 'Drama', 'Thriller']",11000000.0,16000000.0,"The world's best art forger (John Travolta) makes a deal with a crime syndicate to get an early release from prison, but in return he must pull off an impossible heist - he must forge a painting by Claude Monet, steal the original from a museum, and replace it with a replica so perfect that no one will notice. He enlists the help of his father (Christopher Plummer) and son (Tye Sheridan) and together they plan the heist of their lives!"
Killing Season,2013,5.4,33003,25,"['Action', 'Drama', 'Thriller']",,39881.0,"Killing Season tells the story of two veterans of the Bosnian War, one American, one Serbian, who clash in the Appalachian Mountain wilderness. FORD is a former American soldier who fought on the front lines in Bosnia. When our story begins, he has retreated to a remote cabin in the woods, trying to escape painful memories of war. The drama begins when KOVAC, a former Serbian soldier, seeks Ford out, hoping to settle an old score. What follows is a cat-and-mouse game in which Ford and Kovac fight their own personal World War III, with battles both physical and psychological. By the end of the film, old wounds are opened, suppressed memories are drawn to the surface and long-hidden secrets about both Ford and Kovac are revealed."
Savages,2012,6.5,114348,59,"['Crime', 'Drama', 'Thriller']",45000000.0,83000000.0,"In California, the former Navy SEAL Chon and his best friend, the peaceful botanist Ben, are successful entrepreneurs producing and dealing high-quality weed. Chon brought seeds from Afghanistan and Ben used his knowledge to develop the best marijuana in the country. Chon and Ben share the pothead lover Ophelia and she loves both of them since they complete each other - Chon is a powerful and strong lover and Ben is a sensible and loving lover. Their comfortable life changes when the Mexican Baja Cartel demands a partnership in their business. Chon and Ben refuse the deal and the leader of the cartel Elena sends her right-arm in America, Lado, to abduct Ophelia to press the American drug dealers. Chon and Ben ask the support of the dirty DEA Agent Dennis and get inside information to begin a secret war against the Baja Cartel to release Ophelia."
From Paris with Love,2010,6.5,106127,42,"['Action', 'Crime', 'Thriller']",52000000.0,52826594.0,"James Reece is an ambitious aide to the U.S. Ambassador in Paris, doing little jobs for the CIA and hoping to get into black ops. On the night he and his girlfriend, Caroline, become engaged, he's told to pick up Charlie Wax at Orly. Charlie is an unorthodox government employee - large, bald and bearded, foul-mouthed and eccentric. Charlie immediately takes James on a wild ride of murder and mayhem, through ethnic enclaves. As bodies pile up, the purpose remains opaque to James. Caroline, unhappy that James has been out of touch for a day, tells him to bring Charlie for dinner. Charlie can be charming - where will it lead? Does the chess-playing James have what it takes?"
Old Dogs,2009,5.4,34184,19,"['Comedy', 'Family']",35000000.0,96800000.0,"Charlie and Dan have been best friends and business partners for thirty years and their Manhattan public relations firm is on the verge of a huge business deal with a Japanese company. With two weeks to sew up the contract, Dan gets a surprise; a woman he married on a drunken impulse nearly nine years before (annulled the next day) shows up to tell him he's the father of her twins, now seven, and she'll be in jail for 14 days for a political protest. Dan volunteers to keep the tykes, although he's uptight and clueless. With Charlie's help is there any way they can be dad and uncle, meet the kids' expectations, and still land the account?"
