title,year,rating,votes,metascore,genres,budget,gross,plot outline
Father Figures,2017,5.4,13213,22,"['Adventure', 'Comedy', 'Drama', 'Sport']",25000000,25600000,"Kyle and Peter Reynolds are fraternal twins who were raised by their mother, Helen, as their father died before they were born. Kyle is dating his pregnant girlfriend, Kaylani, and is wealthy from royalties for his image on BBQ sauce labels. Peter is a divorced with a teenage son who resents him. Shortly after Helen's wedding, Peter recognizes an actor on Law and Order: SVU from photos of his supposed father, and confronts Helen. Helen explains that she had been promiscuous at the time of their conception, and did not want their father involved. When they keep pressing, Helen reveals that their father is Terry Bradshaw. The brothers fly to Florida to meet Bradshaw, who they encounter at a signing event. Bradshaw is excited to have them as sons. As Bradshaw recounts stories with former teammate Rod Hamilton, the brothers realize that Bradshaw had been in Australia at the time of their conception, and thus isn't their father.."
Tales from Radiator Springs,2013,7,210,Nan,"['Animation', 'Comedy', 'Family']",,,Nan
Cars 3,2017,6.8,55265,59,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sport']",175000000,383900000,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing's biggest stage!"
Lost in London,2017,6.4,1745,Nan,"['Comedy', 'Drama']",,,Nan
Masterminds,2016,5.8,43763,47,"['Action', 'Comedy', 'Crime']",25000000,30900000,"David Ghantt discovers the true meaning of adventure far beyond his wildest dreams. He is an uncomplicated man stuck in a monotonous life. Day in and day out he drives an armored vehicle, transporting millions of other people's money with no escape in sight. The only glimmer of excitement is his flirtatious work crush Kelly Campbell who soon lures him into the scheme of a lifetime. Along with a group of half-brained criminals led by Steve Chambers and an absurdly faulted heist plan, David manages the impossible and makes off with $17 million in cash...only problem is he foolishly hands the money over to this wild group of double crossers and has been set up to take the fall. With the bandits blowing the millions on lavish and ridiculous luxuries, they leave behind a glaring trail of evidence. Now on the lam and in over his head, David must dodge the authorities, evade a hilarious hit man, Mike McKinney, and try to turn the tables on the ones he trusted most."
Zoolander: Super Model,2016,5.2,84,Nan,"['Animation', 'Comedy', 'Sci-Fi']",28000000,60800000,Nan
Zoolander 2,2016,4.7,58784,34,['Comedy'],55000000,56700000,"After many years of being separated from modeling and each other, Derek and Hansel are dragged back into the fashion world in Rome. After being humiliated on the runway by the people behind the scenes, Derek and Hansel decide to quit the business . . . until retired swimsuit model, Valentina, drags them back in with questions about recent celebrity deaths. Soon after, Derek also realizes out that the son who was taken from him is in Rome, and is much dismayed to find that Derek, Jr. is fat. And smart. Regardless, Derek, Sr. continues his mission with Hansel, which leads them to the fashion-model legends of ""Adam, Eve, and Steve"", and the ""Chosen One"". Who is that person? Why do the models drink the Chosen One's blood? Will Derek's and Hansel's careers resume?"
No Escape,2015,6.8,68634,38,"['Action', 'Thriller']",5000000,54400000,"When Jack, the main caracter, finds an opportunity to move to Southeast Asia to head his water manufacturing company's new plant there, he immediately jumps at the opportunity and moves his family there. When they get there; they seem to be having problems, the electronics don't work and rarely any cars are seen in the streets. When he goes to the market the next morning, he finds himself caught in the middle of a violent rebellion headed by armed rebels executing foreigners. Jack must get back to the hotel and with the help of a mysterious British ""tourist"", must get his family to the American Embassy in the midst of the chaos."
Zoolander Returns to the Runway,2015,6.8,122,Nan,['Short'],28000000,60800000,Nan
Night at the Museum: Secret of the Tomb,2014,6.2,89822,47,"['Adventure', 'Comedy', 'Family', 'Fantasy']",127000000,363200000,"At the Museum of Natural History, there's a new exhibit being unveiled. Larry Daley, who manages the night exhibit where the exhibits come to life because of the Tablet of Ahkmenrah, is in charge of the presentation. But when the exhibits go awry, Larry finds himself in trouble. He learns the Tablet is corroding so he does some research and learns that Cecil, the former museum guard, was at the site when the Tablet was discovered. He tells Larry they were warned if they remove it could mean the end. Larry realizes it means the end of the magic. He talks to Ahkmenrah who says that he doesn't know anything. Only his father the Pharaoh knows the Tablet's secrets. He learns that the Pharaoh was sent to the London museum. So he convinces Dr. McPhee, the museum curator, to help send him to London. He takes Ahkmenrah with him but some of the others tag along, like Teddy Roosevelt, Attila, Octavius, and Jedediah."
